Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6, C8",0402,4,0.1u,
"C2, C5, C7",0603,3,2.2u,
C3,0603,1,1.5u,
D1,0402,1,GREEN LED,
D2,0402,1,RED LED,
J1,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,
J2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"R1, R3, R4, R5, R6, R7, R8",0402,7,100,
"R10, R9",0402,2,10k,
R2,0402,1,220,
U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,TS3A27518EPW,
U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TVS0500DRV,
U4,TQFP-44_10x10mm_P0.8mm,1,~,
