Designator,Mid X,Mid Y,Rotation,Layer
C1,70.0,-51.5,0.0,top
C2,68.5,-53.0,0.0,top
C3,70.5,-61.0,90.0,top
C4,68.3,-59.0,270.0,top
C5,69.8,-57.775,270.0,top
C6,67.2,-58.98,270.0,top
C7,65.8,-57.825,270.0,top
C8,66.0,-75.0,90.0,top
D1,78.015,-72.6,180.0,top
D2,78.01,-71.5,180.0,top
J1,94.435,-50.23,90.0,top
J2,55.5,-50.5,270.0,top
J3,55.0,-78.31,0.0,top
J4,74.0,-87.5,90.0,top
J5,60.08,-87.5,90.0,top
J6,55.27,-42.5,270.0,top
R1,75.49,-72.6,0.0,top
R10,80.3,-55.0,270.0,top
R2,75.51,-71.5,0.0,top
R3,61.8,-44.6,270.0,top
R4,61.8,-47.205,270.0,top
R5,65.5,-47.21,90.0,top
R6,63.5,-53.71,270.0,top
R7,62.0,-56.81,270.0,top
R8,60.1,-54.2,270.0,top
R9,80.4,-49.6,0.0,top
U1,75.1375,-50.5,270.0,top
U3,63.5,-51.0,180.0,top
U4,64.4,-67.1625,270.0,top
